Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1149.92,400.00,47500.00,12,0,0,0,6,0,11,0,1,0.8028044238401442,96
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,393402.57,71191.86,564750.00,962,0,998,0,279,0,173,0,16,0.5450148487523768,2352
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,196400.94,118777.11,1344000.00,1935,0,340,0,3728,0,562,0,47,0.8922119763453408,5436
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,72163.64,70609.56,10854500.00,1123,316,0,393,871,143,722,13,23,0.8243575663898934,6456
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,229297.22,170042.43,17022600.00,2173,0,527,0,1290,0,923,0,27,0.8293472355110136,9516
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,122865.71,103810.00,17649100.00,1761,442,0,923,1553,102,1022,39,31,0.828238637204195,9396
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,85246.68,59800.00,12372000.00,1123,109,0,398,1171,35,678,9,27,0.9389983830783873,6240
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,91740.74,55140.00,14538300.00,1138,113,0,286,1174,31,732,20,30,0.885252240360156,6996
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,42236.24,14465.00,11653400.00,439,749,0,533,215,1053,555,10,24,0.9149871975982511,5340
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,856918.78,0.00,0,299,0,112,0,334,0,151,3,0.8713402797714753,1224
